Ahmad Faraj;M;22.0;167.0;60.0;United Arab Emirates;UAE;1988 Summer;1988;?;Seoul;Swimming
Christine Bodner-Laser;F;25.0;?;68.0;East Germany;GDR;1976 Summer;1976;Summer;Montreal;Athletics
John Michael Bukowski;M;25.0;183.0;?;Australia;AUS;1964 Summer;1964;Summer;Tokyo;?
Tefilo Teo Cruz Downs;M;34.0;200.0;81.0;?;PUR;1976 Summer;1976;Summer;Montreal;Basketball
Helena Balatkov-Erbenov;F;27.0;160.0;50.0;Czech Republic;CZE;2006 Winter;?;Winter;Torino;Cross Country Skiing
Darko Cingesar;M;26.0;187.0;93.0;Slovenia;SLO;2016 Summer;2016;Summer;Rio de Janeiro;Handball
Phyllis Ann Margaret Fargher (-Sissons);F;26.0;160.0;55.0;New Zealand;NZL;1984 Summer;1984;Summer;Los Angeles;Diving
Michael Douglas;M;38.0;?;78.0;Canada;CAN;2010 Winter;?;Winter;Vancouver;Skeleton
?;F;?;?;64.0;Sweden;SWE;1996 Summer;1996;Summer;Atlanta;?
?;M;28.0;183.0;82.0;Russia-3;RUS;1998 Winter;1998;Winter;Nagano;Figure Skating
Badrakhyn Odonchimeg;F;?;175.0;63.0;Mongolia;MGL;2008 Summer;2008;Summer;Beijing;Wrestling
Jailma Sales de Lima;F;25.0;174.0;65.0;Brazil;?;2012 Summer;2012;Summer;London;Athletics
Mario Aquilina;M;28.0;179.0;80.0;Malta;MLT;2004 Summer;2004;Summer;Athina;Sailing
ng Th To;F;24.0;167.0;51.0;Vietnam;VIE;1992 Summer;?;?;Barcelona;?
?;F;26.0;173.0;59.0;Canada;CAN;1984 Summer;1984;Summer;Los Angeles;Canoeing
Marco Albarello;M;27.0;187.0;84.0;Italy;ITA;1988 Winter;1988;Winter;?;Cross Country Skiing
Didier Dubois;?;23.0;178.0;68.0;France;FRA;1980 Summer;1980;Summer;Moskva;Athletics
Jean Damman;M;22.0;174.0;63.0;Belgium;BEL;1972 Summer;1972;Summer;Munich;Equestrianism
Gladys Ivonne Erbetta Huri (-Mordini);?;23.0;157.0;53.0;?;?;1952 Summer;1952;Summer;?;Athletics
Isabel Cristina Ceballos Rojas;F;21.0;168.0;62.0;Colombia;COL;2000 Summer;2000;Summer;?;Swimming
Maria Aparecida Barbosa de Souza;F;24.0;168.0;58.0;Brazil;BRA;1996 Summer;1996;Summer;Atlanta;Athletics
Hasna Benhassi;?;26.0;166.0;?;?;MAR;2004 Summer;2004;Summer;Athina;Athletics
Jens Hakon Christensen;M;26.0;182.0;82.0;?;DEN;1980 Summer;1980;Summer;Moskva;Sailing
Valerie Ivy Val Buffham-Norris;F;25.0;152.0;48.0;Australia;AUS;1968 Summer;1968;Summer;Mexico City;Gymnastics
?;M;24.0;?;59.0;Romania;ROU;1992 Summer;1992;Summer;Barcelona;Gymnastics
Cleopatra Ayesha Borel-Brown;F;29.0;172.0;89.0;Trinidad and Tobago;TTO;2008 Summer;2008;Summer;Beijing;Athletics
Asl akr (-Alptekin);F;22.0;168.0;50.0;Turkey;TUR;2008 Summer;2008;Summer;Beijing;Athletics
