?;?;?;?;119;?;?
Nate Torrence;nm1535594;?;?;?;?;tt0405357
?;nm0001148;Katy Caterpillar;1984;?;?;?
?;?;?;?;2500;?;?
?;nm0586281;?;?;1007;6.8;tt0305240
Howard Morris;?;?;?;599;5.6;?
?;?;Movie Movie;?;1016;6.4;?
?;?;?;1960;?;5.2;?
Jack Nicholson;?;?;1992;21582;6.6;?
?;nm2274707;The Midnight Sky;2020;?;?;?
Christian Slater;?;He Was a Quiet Man;?;22012;?;tt0760311
?;nm0001284;?;1998;750;6.4;?
Edward Norton;nm0001570;?;2006;356500;?;?
Emma Thompson;?;How to Build a Girl;?;?;5.8;?
Stephanie Beatriz;nm3715867;The Lego Movie 2: The Second Part;?;56264;?;?
?;nm0005080;?;1999;301750;?;?
Robert Redford;?;?;?;?;?;?
?;?;?;2018;2108;6.6;tt8223844
Sally Kellerman;?;Delgo;?;2875;4.3;tt0361500
?;?;Prince of the City;?;?;?;tt0082945
Joan Hickson;nm0382995;?;?;2566;5.8;?
Sally Kellerman;?;Follow That Bird;?;4742;6.8;?
?;nm0000685;American Wrestler: The Wizard;2016;?;?;tt4303202
?;nm0001467;Fight Club;?;1876882;8.8;?
Dale Dye;nm0245653;Planes: Fire & Rescue;2014;16861;6.0;tt2980706
?;?;?;2003;138405;?;?
Timothy Carhart;nm0137114;Witness;?;?;7.4;tt0090329
M. Emmet Walsh;nm0001826;Chairman of the Board;1998;?;2.3;?
?;?;?;2011;208961;6.0;?
?;nm0040739;12 and Holding;?;?;?;tt0417385
Dennis Hopper;nm0000454;?;?;?;?;?
Mimi Rogers;nm0000211;?;?;7915;5.9;?
Martin Milner;?;Our Very Own;?;496;6.7;tt0042819
?;nm0174403;The Halo Effect;2004;?;?;tt0347138
Tuesday Weld;nm0001839;Heartbreak Hotel;1988;?;?;?
Rachel Weisz;?;Amy Foster;?;3173;6.8;?
?;?;The Wall of Mexico;?;?;?;?
?;?;?;1982;?;?;?
Michael Jeter;nm0005052;?;?;?;6.4;tt0271259
?;?;Margin for Error;1943;224;?;?
Christian Bale;?;?;?;2634;6.9;tt0120584
John Huston;nm0001379;Moby Dick;1956;17173;?;?
Neil Dudgeon;nm0240072;?;?;5589;?;tt0093776
?;?;?;?;?;?;?
?;?;Ten Minutes Older: The Trumpet;2002;?;?;tt0304808
Anne Haney;?;Frances;?;7127;?;?
?;nm0000217;Bringing Out the Dead;1999;?;6.9;?
?;?;?;2010;741;6.3;tt1618450
?;?;?;?;23614;7.0;?
?;?;Field of Dreams;1989;?;7.5;?
?;nm0000737;?;2011;?;6.0;tt1462041
?;?;?;?;?;4.7;?
?;nm0000353;Basquiat;?;?;?;?
?;nm0233027;The Portrait of a Lady;?;10945;?;?
?;nm0272244;A Boy Named Charlie Brown;?;?;7.3;tt0064107
?;nm0158846;?;2018;?;6.1;tt3721964
Gregory Itzin;nm0411857;?;2009;?;7.4;tt1197624
?;nm0611932;?;?;122;5.9;?
?;nm0001748;?;1980;?;?;tt0081433
?;nm3014031;Louder Than Bombs;2015;?;?;?
?;?;?;?;?;?;tt0107156
?;?;The Great Gatsby;2013;485190;7.2;tt1343092
Matthew Goode;?;The Imitation Game;2014;693499;?;tt2084970
?;nm0751245;Fort Massacre;?;792;?;tt0051629
Rosalind Chao;nm0001034;?;2019;45084;?;tt5865326
Gil Bellows;?;Pursued;2004;1576;?;?
?;nm0741378;Poe;?;?;2.9;?
?;?;?;1997;1540;?;tt0119780
Ludi Lin;nm3485108;?;?;102530;5.9;tt3717490
Hunter Parrish;?;Paper Man;2009;18408;6.6;?
Jessica Lowe;nm3148043;The Christmas Chronicles;?;62620;?;?
?;nm0000411;?;2014;1805;?;tt1564368
?;nm0528331;100% Wolf;2020;902;5.7;?
Siobhan Murphy;nm2377551;?;2008;?;5.4;?
?;?;?;?;?;?;tt3691740
Ben Shenkman;nm0791570;Then She Found Me;?;?;?;tt0455805
?;?;The Blazing World;2021;?;?;tt11378876
Bokeem Woodbine;nm0940158;1982;2013;?;7.0;?
Anthony Hopkins;nm0000164;?;?;?;?;tt0077743
Ethan Suplee;nm0839486;The Wolf of Wall Street;2013;1209490;8.2;?
?;nm0000678;?;?;?;7.1;tt0822832
Jon Voight;?;?;?;10063;7.0;tt0071935
Felicity Huffman;?;Cake;?;?;6.4;?
?;nm0000576;Before Night Falls;?;?;?;tt0247196
Michael Clarke Duncan;?;?;2011;?;?;?
?;?;Bobby;2006;41122;7.0;tt0308055
Chris Hemsworth;?;Star Trek: Into Darkness;?;465080;?;?
?;nm2902567;?;?;?;6.2;?
?;nm0005048;The Punisher;?;?;?;tt0330793
?;nm0004790;?;2005;73921;5.9;?
?;nm0413168;?;2006;81311;6.6;?
?;nm1475594;A Guide to Recognizing Your Saints;?;25065;7.0;tt0473488
