039XX W OGDEN AVE;?;ROBBERY;ARMED: HANDGUN;?;0;?;10.0;22.0;?
?;0486;BATTERY;?;APARTMENT;0;1;5.0;9.0;49.0
?;?;?;?;STREET;0;0;17.0;33.0;14.0
013XX E 76TH ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;1;?;4.0;5.0;43.0
069XX S PERRY AVE;0610;BURGLARY;?;?;?;0;?;6.0;?
?;?;CRIMINAL DAMAGE;TO VEHICLE;STREET;?;0;18.0;42.0;8.0
049XX W DIVERSEY AVE;033A;ROBBERY;ATTEMPT: ARMED-HANDGUN;?;0;0;25.0;?;?
001XX W ERIE ST;0620;BURGLARY;?;CONSTRUCTION SITE;0;?;?;42.0;8.0
?;0910;MOTOR VEHICLE THEFT;?;STREET;?;0;1.0;2.0;33.0
?;0910;?;?;?;?;0;15.0;28.0;25.0
024XX N STOCKTON DR;?;THEFT;?;STREET;0;0;?;43.0;?
005XX E PERSHING RD;?;THEFT;?;CONVENIENCE STORE;0;0;?;3.0;38.0
?;?;THEFT;$500 AND UNDER;PARKING LOT/GARAGE(NON.RESID.);0;0;18.0;42.0;8.0
083XX S PERRY AVE;?;BURGLARY;FORCIBLE ENTRY;RESIDENCE;0;?;?;21.0;?
045XX W NORTH AVE;0820;?;$500 AND UNDER;?;?;0;?;37.0;23.0
?;0820;THEFT;$500 AND UNDER;TAXICAB;0;0;24.0;?;2.0
004XX N STATE ST;1242;DECEPTIVE PRACTICE;?;ATM (AUTOMATIC TELLER MACHINE);0;0;?;42.0;?
113XX S SPAULDING AVE;1345;CRIMINAL DAMAGE;?;?;0;0;?;19.0;?
?;2820;?;?;RESIDENCE;0;0;19.0;46.0;3.0
046XX S LAVERGNE AVE;?;?;?;OTHER;0;0;8.0;?;56.0
001XX E 41ST ST;1320;CRIMINAL DAMAGE;TO VEHICLE;STREET;?;0;?;3.0;?
076XX S DR MARTIN LUTHER KING JR DR;?;WEAPONS VIOLATION;UNLAWFUL POSS OF HANDGUN;STREET;1;?;6.0;6.0;69.0
?;1320;CRIMINAL DAMAGE;TO VEHICLE;?;?;1;10.0;22.0;29.0
010XX N MONTICELLO AVE;0820;?;$500 AND UNDER;?;0;?;11.0;27.0;23.0
056XX W ROOSEVELT RD;031A;?;?;SMALL RETAIL STORE;0;?;?;29.0;25.0
?;?;MOTOR VEHICLE THEFT;AUTOMOBILE;DRIVEWAY - RESIDENTIAL;?;?;?;36.0;?
007XX S MICHIGAN AVE;1330;CRIMINAL TRESPASS;TO LAND;HOTEL/MOTEL;1;0;?;2.0;32.0
011XX W CERMAK RD;0820;THEFT;$500 AND UNDER;OTHER;0;0;12.0;25.0;?
046XX W BARRY AVE;502P;OTHER OFFENSE;FALSE/STOLEN/ALTERED TRP;STREET;?;0;25.0;?;?
005XX E 33RD PL;0820;THEFT;$500 AND UNDER;?;0;?;2.0;?;35.0
024XX W OGDEN AVE;?;MOTOR VEHICLE THEFT;AUTOMOBILE;PARKING LOT/GARAGE(NON.RESID.);0;0;10.0;28.0;?
078XX S WESTERN AVE;?;ROBBERY;STRONGARM - NO WEAPON;STREET;0;0;8.0;18.0;?
039XX W LEXINGTON ST;?;HOMICIDE;FIRST DEGREE MURDER;AUTO;0;0;11.0;24.0;26.0
058XX N OKETO AVE;1360;?;?;DRIVEWAY - RESIDENTIAL;0;0;16.0;41.0;10.0
?;0486;BATTERY;?;APARTMENT;?;1;?;35.0;21.0
?;1310;CRIMINAL DAMAGE;TO PROPERTY;APARTMENT;0;0;15.0;28.0;25.0
?;1310;CRIMINAL DAMAGE;TO PROPERTY;RESIDENCE;?;?;?;19.0;72.0
?;0820;THEFT;?;RESIDENCE;0;0;?;9.0;?
?;0486;BATTERY;DOMESTIC BATTERY SIMPLE;?;1;1;11.0;26.0;23.0
027XX W 58TH ST;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;0;?;?;?;63.0
003XX E PERSHING RD;?;?;THEFT OF LABOR/SERVICES;TAXICAB;0;0;?;4.0;35.0
?;1811;NARCOTICS;?;SIDEWALK;1;0;15.0;29.0;25.0
?;0820;THEFT;$500 AND UNDER;?;?;0;5.0;9.0;53.0
019XX S TROY ST;?;THEFT;$500 AND UNDER;SIDEWALK;?;?;?;24.0;29.0
024XX W MADISON ST;1154;DECEPTIVE PRACTICE;?;GAS STATION;0;0;12.0;?;?
?;?;CRIMINAL DAMAGE;TO PROPERTY;?;?;0;7.0;?;67.0
0000X W 71ST ST;?;?;VEHICLE TITLE/REG OFFENSE;STREET;1;?;7.0;?;?
133XX S EDBROOKE AVE;?;?;?;RESIDENCE;0;0;5.0;9.0;54.0
004XX S CLINTON ST;0330;ROBBERY;?;CTA STATION;0;0;1.0;2.0;28.0
?;?;?;OVER $500;STREET;0;0;12.0;42.0;28.0
069XX S DAMEN AVE;1812;NARCOTICS;POSS: CANNABIS MORE THAN 30GMS;STREET;?;0;7.0;?;67.0
?;?;ROBBERY;STRONGARM - NO WEAPON;SIDEWALK;0;?;11.0;?;27.0
?;?;BURGLARY;FORCIBLE ENTRY;RESIDENCE;1;?;?;17.0;71.0
?;0870;THEFT;?;?;?;0;3.0;20.0;42.0
015XX S SAWYER AVE;2014;NARCOTICS;MANU/DELIVER: HEROIN (WHITE);?;1;0;10.0;?;?
071XX S CALUMET AVE;?;OTHER OFFENSE;VIOLATE ORDER OF PROTECTION;?;1;1;?;6.0;69.0
?;0890;?;FROM BUILDING;ATHLETIC CLUB;?;?;?;14.0;63.0
036XX W 79TH ST;0910;MOTOR VEHICLE THEFT;AUTOMOBILE;GAS STATION;?;0;?;18.0;70.0
028XX W DIVERSEY AVE;?;CRIMINAL DAMAGE;TO PROPERTY;SMALL RETAIL STORE;0;0;?;?;22.0
003XX W LAKE ST;?;BURGLARY;FORCIBLE ENTRY;COMMERCIAL / BUSINESS OFFICE;0;0;1.0;?;?
072XX S LOWE AVE;0486;?;DOMESTIC BATTERY SIMPLE;?;0;1;7.0;17.0;?
